img1,img2,label
neutral\mahershala_ali\000035.jpg,sunglasses\willem_dafoe_wearing_sunglasses\000005.jpg,0
neutral\karim_benzema\000019.jpg,sunglasses\simon_pegg_wearing_sunglasses\000006.jpg,0
neutral\johnny_depp\000004.jpg,sunglasses\johnny_depp_wearing_sunglasses\000010.jpg,1
neutral\iga_swiatek\000010.jpg,masked\chuck_schumer_wearing_mask\000010.jpg,0
neutral\novak_djokovic\000018.jpg,masked\novak_djokovic_wearing_mask\000001.jpg,1
neutral\robert_pattinson\000009.jpg,sunglasses\antonio_banderas_wearing_sunglasses\000008.jpg,0
neutral\colin_farell\000057.jpg,sunglasses\colin_farell_wearing_sunglasses\000015.jpg,1
neutral\paul_rudd\000046.jpg,sunglasses\amber_heard_wearing_sunglasses\000003.jpg,0
neutral\dave_bautista\000014.jpg,masked\thomas_muller_wearing_mask\000004.jpg,0
neutral\david_alaba\000019.jpg,masked\david_alaba_wearing_mask\000002.jpg,1
neutral\anthony_davis\000003.jpg,sunglasses\anthony_davis_wearing_sunglasses\000002.jpg,1
neutral\yuki_tsunoda\000020.jpg,masked\yuki_tsunoda_wearing_mask\000004.jpg,1
neutral\kylian_mbappe\000007.jpg,sunglasses\michael_keaton_wearing_sunglasses\000003.jpg,0
neutral\jayson_tatum\000010.jpg,masked\jayson_tatum_wearing_mask\000001.jpg,1
neutral\jeremy_renner\000017.jpg,masked\patty_murray_wearing_mask\000005.jpg,0
neutral\sebastian_stan\000036.jpg,sunglasses\sebastian_stan_wearing_sunglasses\000002.jpg,1
neutral\paul_rudd\000058.jpg,sunglasses\paul_rudd_wearing_sunglasses\000011.jpg,1
neutral\naomi_osaka\000023.jpg,masked\naomi_osaka_wearing_mask\000019.jpg,1
neutral\charles_leclerc\000031.jpg,masked\charles_leclerc_wearing_mask\000003.jpg,1
neutral\naomi_scott\000033.jpg,sunglasses\zlatan_ibrahimovic_wearing_sunglasses\000013.jpg,0
neutral\ed_harris\000006.jpg,masked\mohamed_salah_wearing_mask\000003.jpg,0
neutral\margot_robbie\000050.jpg,sunglasses\margot_robbie_wearing_sunglasses\000007.jpg,1
neutral\liam_neeson\000030.jpg,sunglasses\michael_keaton_wearing_sunglasses\000001.jpg,0
neutral\naomi_scott\000036.jpg,sunglasses\naomi_scott_wearing_sunglasses\000005.jpg,1
neutral\ilhan_omar\000033.jpg,masked\fernando_alonso_wearing_mask\000002.jpg,0
neutral\samuel_l._jackson\000060.jpg,sunglasses\jeff_bridges_wearing_sunglasses\000009.jpg,0
neutral\liam_neeson\000016.jpg,sunglasses\liam_neeson_wearing_sunglasses\000013.jpg,1
neutral\stefanos_tsitsipas\000016.jpg,masked\cory_booker_wearing_mask\000001.jpg,0
neutral\daniil_medvedev\000003.jpg,sunglasses\nicolas_cage_wearing_sunglasses\000012.jpg,0
neutral\sebastian_vettel\000019.jpg,masked\sebastian_vettel_wearing_mask\000004.jpg,1
neutral\justin_trudeau\000023.jpg,sunglasses\justin_trudeau_wearing_sunglasses\000004.jpg,1
neutral\emilia_clarke\000054.jpg,sunglasses\emilia_clarke_wearing_sunglasses\000022.jpg,1
neutral\neymar\000027.jpg,masked\stefanos_tsitsipas_wearing_mask\000002.jpg,0
neutral\dominic_thiem\000001.jpg,masked\dominic_thiem_wearing_mask\000001.jpg,1
neutral\alain_delon\000012.jpg,sunglasses\jon_favreau_wearing_sunglasses\000005.jpg,0
neutral\amy_klobuchar\000014.jpg,masked\amy_klobuchar_wearing_mask\000007.jpg,1
neutral\amy_klobuchar\000012.jpg,masked\chuck_schumer_wearing_mask\000018.jpg,0
neutral\lebron_james\000017.jpg,masked\manuel_neuer_wearing_mask\000003.jpg,0
neutral\jeremy_renner\000032.jpg,sunglasses\jeremy_renner_wearing_sunglasses\000004.jpg,1
neutral\donald_trump\000018.jpg,masked\donald_trump_wearing_mask\000004.jpg,1
neutral\dick_durbin\000002.jpg,sunglasses\liam_neeson_wearing_sunglasses\000020.jpg,0
neutral\manuel_neuer\000012.jpg,masked\manuel_neuer_wearing_mask\000004.jpg,1
neutral\neymar\000004.jpg,masked\neymar_wearing_mask\000007.jpg,1
neutral\alexander_zverev\000007.jpg,masked\alexander_zverev_wearing_mask\000001.jpg,1
neutral\vin_diesel\000010.jpg,sunglasses\vin_diesel_wearing_sunglasses\000023.jpg,1
neutral\samuel_l._jackson\000010.jpg,sunglasses\samuel_l._jackson_wearing_sunglasses\000005.jpg,1
neutral\jayson_tatum\000004.jpg,masked\elizabeth_warren_wearing_mask\000001.jpg,0
neutral\bill_gates\000005.jpg,sunglasses\t_j_miller_wearing_sunglasses\000002.jpg,0
neutral\chuck_schumer\000026.jpg,sunglasses\chuck_schumer_wearing_sunglasses\000001.jpg,1
neutral\adrien_brody\000014.jpg,sunglasses\adrien_brody_wearing_sunglasses\000006.jpg,1
neutral\don_cheadle\000032.jpg,sunglasses\rafael_nadal_wearing_sunglasses\000004.jpg,0
neutral\joshua_kimmich\000007.jpg,masked\joshua_kimmich_wearing_mask\000002.jpg,1
neutral\gary_peters\000014.jpg,masked\gary_peters_wearing_mask\000002.jpg,1
neutral\ed_harris\000014.jpg,sunglasses\jared_leto_wearing_sunglasses\000006.jpg,0
neutral\andrey_rublev\000002.jpg,sunglasses\zlatan_ibrahimovic_wearing_sunglasses\000003.jpg,0
neutral\lebron_james\000008.jpg,sunglasses\justin_trudeau_wearing_sunglasses\000005.jpg,0
neutral\nick_nolte\000002.jpg,masked\stefanos_tsitsipas_wearing_mask\000002.jpg,0
neutral\michael_douglas\000009.jpg,sunglasses\serena_williams_wearing_sunglasses\000006.jpg,0
neutral\neymar\000024.jpg,sunglasses\serena_williams_wearing_sunglasses\000004.jpg,0
neutral\morgan_freeman\000002.jpg,masked\guiseppe_marotta_wearing_mask\000001.jpg,0
neutral\tom_hanks\000016.jpg,sunglasses\samuel_l._jackson_wearing_sunglasses\000019.jpg,0
neutral\daniel_ricciardo\000006.jpg,masked\manuel_neuer_wearing_mask\000004.jpg,0
neutral\nicole_kidman\000012.jpg,sunglasses\dwayne_johnson_wearing_sunglasses\000040.jpg,0
neutral\john_goodman\000010.jpg,sunglasses\john_goodman_wearing_sunglasses\000009.jpg,1
neutral\alexander_zverev\000013.jpg,sunglasses\alexander_zverev_wearing_sunglasses\000002.jpg,1
neutral\adrien_brody\000006.jpg,sunglasses\adrien_brody_wearing_sunglasses\000009.jpg,1
neutral\andrey_rublev\000007.jpg,sunglasses\george_russell_wearing_sunglasses\000009.jpg,0
neutral\jack_black\000043.jpg,masked\donald_trump_wearing_mask\000006.jpg,0
neutral\chris_pratt\000045.jpg,sunglasses\chris_pratt_wearing_sunglasses\000010.jpg,1
neutral\kevin_costner\000008.jpg,sunglasses\chris_hemsworth_wearing_sunglasses\000035.jpg,0
neutral\sebastian_stan\000029.jpg,sunglasses\sebastian_stan_wearing_sunglasses\000024.jpg,1
neutral\bruno_fernandes\000026.jpg,sunglasses\bruno_fernandes_wearing_sunglasses\000001.jpg,1
neutral\fernando_alonso\000017.jpg,masked\fernando_alonso_wearing_mask\000001.jpg,1
neutral\bryce_dallas_howard\000018.jpg,sunglasses\bryce_dallas_howard_wearing_sunglasses\000006.jpg,1
neutral\willem_dafoe\000004.jpg,sunglasses\willem_dafoe_wearing_sunglasses\000006.jpg,1
neutral\patty_murray\000015.jpg,masked\virgil_van_dijk_wearing_mask\000001.jpg,0
neutral\justin_theroux\000015.jpg,sunglasses\brie_larson_wearing_sunglasses\000019.jpg,0
neutral\giannis_antetokounmpo\000005.jpg,masked\giannis_antetokounmpo_wearing_mask\000001.jpg,1
neutral\rafael_nadal\000015.jpg,masked\lewis_hamilton_wearing_mask\000013.jpg,0
neutral\margot_robbie\000058.jpg,sunglasses\nikita_mazepin_wearing_sunglasses\000002.jpg,0
neutral\al_pacino\000001.jpg,sunglasses\al_pacino_wearing_sunglasses\000010.jpg,1
neutral\alain_delon\000002.jpg,sunglasses\alain_delon_wearing_sunglasses\000006.jpg,1
neutral\jennifer_lawrence\000005.jpg,sunglasses\dave_bautista_wearing_sunglasses\000020.jpg,0
neutral\guiseppe_marotta\000020.jpg,sunglasses\guiseppe_marotta_wearing_sunglasses\000010.jpg,1
neutral\mark_warner\000024.jpg,masked\mark_zuckerberg_wearing_mask\000001.jpg,0
neutral\dwayne_johnson\000012.jpg,sunglasses\dwayne_johnson_wearing_sunglasses\000017.jpg,1
neutral\naomi_scott\000002.jpg,sunglasses\jennifer_lawrence_wearing_sunglasses\000010.jpg,0
neutral\fahrettin_koca\000016.jpg,masked\fahrettin_koca_wearing_mask\000001.jpg,1
neutral\zendaya\000022.jpg,sunglasses\zendaya_wearing_sunglasses\000001.jpg,1
neutral\tom_cruise\000015.jpg,masked\lebron_james_wearing_mask\000003.jpg,0
neutral\novak_djokovic\000019.jpg,masked\novak_djokovic_wearing_mask\000005.jpg,1
neutral\vin_diesel\000005.jpg,sunglasses\vin_diesel_wearing_sunglasses\000005.jpg,1
neutral\nick_nolte\000005.jpg,sunglasses\meryl_streep_wearing_sunglasses\000016.jpg,0
neutral\bill_gates\000026.jpg,sunglasses\lionel_messi_wearing_sunglasses\000001.jpg,0
neutral\dominic_thiem\000001.jpg,masked\dominic_thiem_wearing_mask\000001.jpg,1
neutral\bruce_willis\000010.jpg,sunglasses\bruce_willis_wearing_sunglasses\000004.jpg,1
neutral\manuel_neuer\000014.jpg,sunglasses\manuel_neuer_wearing_sunglasses\000004.jpg,1
neutral\bill_gates\000030.jpg,sunglasses\zlatan_ibrahimovic_wearing_sunglasses\000010.jpg,0
neutral\yuki_tsunoda\000014.jpg,masked\yuki_tsunoda_wearing_mask\000002.jpg,1
neutral\robert_downey_jr\000052.jpg,masked\virgil_van_dijk_wearing_mask\000001.jpg,0
neutral\joaquin_phoenix\000016.jpg,sunglasses\joaquin_phoenix_wearing_sunglasses\000005.jpg,1
neutral\daniil_medvedev\000002.jpg,masked\daniil_medvedev_wearing_mask\000002.jpg,1
neutral\karen_gillan\000022.jpg,sunglasses\kevin_spacey_wearing_sunglasses\000019.jpg,0
neutral\kevin_spacey\000015.jpg,masked\mark_zuckerberg_wearing_mask\000001.jpg,0
neutral\neymar\000026.jpg,masked\neymar_wearing_mask\000003.jpg,1
neutral\colin_firth\000011.jpg,sunglasses\colin_firth_wearing_sunglasses\000016.jpg,1
neutral\chuck_schumer\000010.jpg,masked\chuck_schumer_wearing_mask\000014.jpg,1
neutral\josh_brolin\000005.jpg,sunglasses\tom_hardy_wearing_sunglasses\000002.jpg,0
neutral\tom_hardy\000019.jpg,sunglasses\tom_hardy_wearing_sunglasses\000010.jpg,1
neutral\zendaya\000016.jpg,sunglasses\vin_diesel_wearing_sunglasses\000014.jpg,0
neutral\lionel_messi\000008.jpg,masked\lionel_messi_wearing_mask\000001.jpg,1
neutral\fernando_alonso\000019.jpg,sunglasses\fernando_alonso_wearing_sunglasses\000007.jpg,1
neutral\jack_nicholson\000001.jpg,sunglasses\lewis_hamilton_wearing_sunglasses\000011.jpg,0
neutral\debbie_stabenow\000022.jpg,masked\debbie_stabenow_wearing_mask\000004.jpg,1
neutral\lance_stroll\000017.jpg,masked\lance_stroll_wearing_mask\000005.jpg,1
neutral\anthony_davis\000013.jpg,sunglasses\anthony_davis_wearing_sunglasses\000004.jpg,1
neutral\manuel_neuer\000015.jpg,masked\manuel_neuer_wearing_mask\000001.jpg,1
neutral\guiseppe_marotta\000030.jpg,masked\guiseppe_marotta_wearing_mask\000001.jpg,1
neutral\emily_blunt\000005.jpg,sunglasses\emily_blunt_wearing_sunglasses\000013.jpg,1
neutral\idris_elba\000016.jpg,sunglasses\idris_elba_wearing_sunglasses\000008.jpg,1
neutral\anne_hathaway\000005.jpg,masked\joe_biden_wearing_mask\000012.jpg,0
neutral\michael_keaton\000006.jpg,sunglasses\michael_keaton_wearing_sunglasses\000001.jpg,1
neutral\george_clooney\000005.jpg,sunglasses\paul_bettany_wearing_sunglasses\000024.jpg,0
neutral\elizabeth_warren\000009.jpg,masked\elizabeth_warren_wearing_mask\000001.jpg,1
neutral\antonio_banderas\000004.jpg,sunglasses\antonio_banderas_wearing_sunglasses\000007.jpg,1
neutral\bruce_willis\000001.jpg,sunglasses\bruce_willis_wearing_sunglasses\000006.jpg,1
neutral\donnie_yen\000024.jpg,sunglasses\ed_skrein_wearing_sunglasses\000009.jpg,0
neutral\esteban_ocon\000008.jpg,masked\andrey_rublev_wearing_mask\000004.jpg,0
neutral\jeremy_renner\000018.jpg,sunglasses\lebron_james_wearing_sunglasses\000006.jpg,0
neutral\petra_kvitova\000010.jpg,sunglasses\petra_kvitova_wearing_sunglasses\000001.jpg,1
neutral\jason_momoa\000021.jpg,sunglasses\jason_momoa_wearing_sunglasses\000019.jpg,1
neutral\elizabeth_warren\000008.jpg,sunglasses\elizabeth_warren_wearing_sunglasses\000003.jpg,1
neutral\naomi_osaka\000005.jpg,masked\naomi_osaka_wearing_mask\000021.jpg,1
neutral\anthony_mackie\000020.jpg,sunglasses\kylian_mbappe_wearing_sunglasses\000007.jpg,0
neutral\johnny_depp\000007.jpg,sunglasses\harrison_ford_wearing_sunglasses\000004.jpg,0
neutral\jayson_tatum\000005.jpg,sunglasses\justin_theroux_wearing_sunglasses\000001.jpg,0
neutral\lewis_hamilton\000011.jpg,sunglasses\lewis_hamilton_wearing_sunglasses\000004.jpg,1
neutral\roger_federer\000022.jpg,masked\roger_federer_wearing_mask\000002.jpg,1
neutral\denzel_washington\000011.jpg,masked\dominic_thiem_wearing_mask\000001.jpg,0
neutral\giannis_antetokounmpo\000006.jpg,sunglasses\mel_gibson_wearing_sunglasses\000017.jpg,0
neutral\george_russell\000012.jpg,masked\george_russell_wearing_mask\000006.jpg,1
neutral\recep_tayip_erdogan\000001.jpg,sunglasses\virgil_van_dijk_wearing_sunglasses\000011.jpg,0
neutral\cory_booker\000013.jpg,masked\cory_booker_wearing_mask\000003.jpg,1
neutral\mahershala_ali\000044.jpg,sunglasses\mahershala_ali_wearing_sunglasses\000011.jpg,1
neutral\george_clooney\000006.jpg,masked\neymar_wearing_mask\000004.jpg,0
neutral\kevin_costner\000009.jpg,masked\rafael_nadal_wearing_mask\000001.jpg,0
neutral\nick_nolte\000003.jpg,sunglasses\nick_nolte_wearing_sunglasses\000007.jpg,1
neutral\anthony_davis\000022.jpg,sunglasses\nick_jonas_wearing_sunglasses\000020.jpg,0
neutral\arnold_schwarzenegger\000002.jpg,sunglasses\arnold_schwarzenegger_wearing_sunglasses\000016.jpg,1
neutral\samuel_l._jackson\000050.jpg,sunglasses\johnny_depp_wearing_sunglasses\000010.jpg,0
neutral\thomas_muller\000001.jpg,masked\thomas_muller_wearing_mask\000005.jpg,1
neutral\christopher_walken\000003.jpg,sunglasses\bryce_dallas_howard_wearing_sunglasses\000004.jpg,0
neutral\bernie_sanders\000013.jpg,sunglasses\esteban_ocon_wearing_sunglasses\000005.jpg,0
neutral\steve_buscemi\000014.jpg,masked\yuki_tsunoda_wearing_mask\000005.jpg,0
neutral\t_j_miller\000002.jpg,sunglasses\t_j_miller_wearing_sunglasses\000004.jpg,1
neutral\antonio_banderas\000006.jpg,sunglasses\james_mcavoy_wearing_sunglasses\000017.jpg,0
neutral\emily_blunt\000030.jpg,masked\naomi_osaka_wearing_mask\000005.jpg,0
neutral\steve_buscemi\000025.jpg,sunglasses\justin_trudeau_wearing_sunglasses\000001.jpg,0
neutral\liam_neeson\000041.jpg,masked\andrey_rublev_wearing_mask\000004.jpg,0
neutral\alexander_zverev\000005.jpg,masked\alexander_zverev_wearing_mask\000001.jpg,1
neutral\bryce_dallas_howard\000022.jpg,masked\chuck_schumer_wearing_mask\000005.jpg,0
neutral\fernando_alonso\000020.jpg,masked\fernando_alonso_wearing_mask\000002.jpg,1
neutral\mark_ruffalo\000010.jpg,sunglasses\john_boyega_wearing_sunglasses\000004.jpg,0
neutral\idris_elba\000013.jpg,sunglasses\idris_elba_wearing_sunglasses\000006.jpg,1
neutral\debbie_stabenow\000033.jpg,sunglasses\amber_heard_wearing_sunglasses\000009.jpg,0
neutral\dick_durbin\000005.jpg,masked\dick_durbin_wearing_mask\000006.jpg,1
neutral\john_boyega\000054.jpg,sunglasses\john_boyega_wearing_sunglasses\000005.jpg,1
neutral\tom_hanks\000016.jpg,masked\joshua_kimmich_wearing_mask\000008.jpg,0
neutral\colin_firth\000008.jpg,sunglasses\colin_firth_wearing_sunglasses\000011.jpg,1
neutral\virgil_van_dijk\000023.jpg,sunglasses\bill_gates_wearing_sunglasses\000001.jpg,0
neutral\hasan_salihamidzic\000012.jpg,sunglasses\hasan_salihamidzic_wearing_sunglasses\000002.jpg,1
neutral\george_russell\000014.jpg,masked\george_russell_wearing_mask\000001.jpg,1
neutral\george_russell\000012.jpg,sunglasses\michael_b_jordan_wearing_sunglasses\000012.jpg,0
neutral\matt_damon\000022.jpg,sunglasses\benedict_cumberbatch_wearing_sunglasses\000041.jpg,0
neutral\immanuel_macron\000012.jpg,masked\immanuel_macron_wearing_mask\000020.jpg,1
neutral\bernard_arnault\000025.jpg,masked\bernard_arnault_wearing_mask\000001.jpg,1
neutral\john_travolta\000012.jpg,sunglasses\john_travolta_wearing_sunglasses\000010.jpg,1
neutral\james_harden\000019.jpg,masked\giannis_antetokounmpo_wearing_mask\000002.jpg,0
neutral\simona_halep\000022.jpg,sunglasses\emilia_clarke_wearing_sunglasses\000022.jpg,0
neutral\justin_theroux\000012.jpg,masked\yuki_tsunoda_wearing_mask\000001.jpg,0
neutral\russell_crowe\000007.jpg,sunglasses\russell_crowe_wearing_sunglasses\000002.jpg,1
neutral\steve_buscemi\000025.jpg,sunglasses\steve_buscemi_wearing_sunglasses\000002.jpg,1
neutral\willem_dafoe\000008.jpg,masked\jayson_tatum_wearing_mask\000001.jpg,0
neutral\david_alaba\000022.jpg,masked\daniil_medvedev_wearing_mask\000001.jpg,0
neutral\esteban_ocon\000007.jpg,masked\esteban_ocon_wearing_mask\000002.jpg,1
neutral\dick_durbin\000031.jpg,masked\dick_durbin_wearing_mask\000005.jpg,1
neutral\jared_leto\000003.jpg,sunglasses\jared_leto_wearing_sunglasses\000007.jpg,1
neutral\debbie_stabenow\000008.jpg,masked\debbie_stabenow_wearing_mask\000003.jpg,1
neutral\petra_kvitova\000008.jpg,sunglasses\michael_keaton_wearing_sunglasses\000002.jpg,0
neutral\daniil_medvedev\000002.jpg,sunglasses\russell_crowe_wearing_sunglasses\000007.jpg,0
neutral\chris_hemsworth\000009.jpg,sunglasses\chris_hemsworth_wearing_sunglasses\000054.jpg,1
neutral\jason_momoa\000015.jpg,sunglasses\tom_hanks_wearing_sunglasses\000002.jpg,0
neutral\willem_dafoe\000024.jpg,sunglasses\gary_peters_wearing_sunglasses\000001.jpg,0
neutral\jake_gyllenhaal\000004.jpg,sunglasses\jake_gyllenhaal_wearing_sunglasses\000023.jpg,1
neutral\lewis_hamilton\000004.jpg,masked\lewis_hamilton_wearing_mask\000005.jpg,1
